id;user_id;judul;tahun_terbit;deskripsi;created_at
4724;1800;10 Kisah Genocide;2008;Genosida atau genosid adalah sebuah pembantaian besar-besaran sistematis terhadap satu suku bangsa atau kelompok dengan maksud memusnahkan (membuat punah) bangsa tersebut.;18/03/22 09.44
4964;2235;1453 Detik-Detik Jatuhnya Konstantinopel ke Tangan Muslim;2011;Selama lebih dari seribu tahun  Konstantinopel adalah pusat dunia Barat sekaligus pertahanan Kristen terhadap Islam. Selama itu pula kota ini tak lepas dari ancaman  namun selalu selamat dari penyerangan rata-rata setiap empat puluh tahun.;18/03/22 12.15
4297;2191;"Obrolan Nusantara: Menyambut Indonesia""""";2012;Udara politik di Indonesia semakin pengab dari waktu ke waktu. Rakyat menjadi kehilangan harapan untuk dapat menggapai hidup yang lebih sejahtera. Hampir semua lembaga publik sudah tidak dapat dipercaya.;18/03/22 12.49
4724;2191;10 Kisah Genocide;2008;Genosida atau genosid adalah sebuah pembantaian besar-besaran sistematis terhadap satu suku bangsa atau kelompok dengan maksud memusnahkan (membuat punah) bangsa tersebut.;18/03/22 12.49
4481;2191;10 November 45 Mengapa Inggris Membom Surabaya;2001;Meneliti kembali peristiwa pemboman Surabaya oleh Inggris mulai 10 November 1945 perlu dilakukan untuk meluruskan penulisan sejarah perjuangan Indonesia mencapai kemerdekaan.;18/03/22 12.50
4481;1808;10 November 45 Mengapa Inggris Membom Surabaya;2001;Meneliti kembali peristiwa pemboman Surabaya oleh Inggris mulai 10 November 1945 perlu dilakukan untuk meluruskan penulisan sejarah perjuangan Indonesia mencapai kemerdekaan.;18/03/22 13.38
4481;2158;10 November 45 Mengapa Inggris Membom Surabaya;2001;Meneliti kembali peristiwa pemboman Surabaya oleh Inggris mulai 10 November 1945 perlu dilakukan untuk meluruskan penulisan sejarah perjuangan Indonesia mencapai kemerdekaan.;18/03/22 13.39
5244;1933;Pak Dirman Memimpin Perang Rakyat Semesta (Gerilya);1984;Buku ini menyajikan peran Panglima Besar Soedirman menghadapi serangan musuh yang bertekad besra sekali menghapuskan adanya Republik Indonesia.   Peristiwa ini dimulai pada tanggal 19 Desember 1948 dimana musuh mulai menyerang Yogyakarta dengan pesawat-pesawat udara  dan diakhiri pada tanggal 29 januari 1950.;18/03/22 15.23
4297;1825;"Obrolan Nusantara: Menyambut Indonesia""""";2012;Udara politik di Indonesia semakin pengab dari waktu ke waktu. Rakyat menjadi kehilangan harapan untuk dapat menggapai hidup yang lebih sejahtera. Hampir semua lembaga publik sudah tidak dapat dipercaya.;19/03/22 17.16
4297;2053;"Obrolan Nusantara: Menyambut Indonesia""""";2012;Udara politik di Indonesia semakin pengab dari waktu ke waktu. Rakyat menjadi kehilangan harapan untuk dapat menggapai hidup yang lebih sejahtera. Hampir semua lembaga publik sudah tidak dapat dipercaya.;19/03/22 19.12
5220;1800;Emotional Intelligence Kecerdasan Emosional;2020;Emotional Intelligence Kecerdasan Emosional;19/03/22 22.29
3740;1800;AKU MELAWAN TERORIS SEBUAH KEDUSTAAN ATAS NAMA ULAMA AHLUSUSUNNAH;2005;Siapa tak kenal Imam Samudra? Ia begitu popular karena menjadi tersangka dalam kasus Bom Bali. Sebuah buku atas namanya meluncur  yang berjudul : AKU MELAWAN TERORIS. Repotnya  buku yang sarat subhat itu justru menggunakan berbagai 'dalil' yang kemudian ditafsir seenak perut. Tujuannya tentu  mencari pembenaran atas aksi yang mengatasnamakan Islam itu.;19/03/22 22.31
5225;1800;Lubang Lubang Pembantaian Petualangan PKI di Madiun;1990;Lubang Lubang Pembantaian Petualangan PKI di Madiun;19/03/22 23.24
5242;1992;Ekonomi Kerakyatan;2001;Ekonomi Kerakyatan;19/03/22 23.38
3197;1800;Darurat Terorisme;2014;Upaya penindakan terorisme dengan menggunakan pendekatan penegakan hukum (koersif) belum mampu mencegah berulangnya aksi terorisme  dan seringkali memicu pertentangan di tengah masyarakat bahkan memunculkan rasa dendam yang tinggi terhadap aparat penegak hukum.;20/03/22 10.27
2452;1800;DERADIKALISASI TERORISME;2009;Terdapat berbagai interpretasi tentang pengertian teror  teroris  dan terorisme. Kata-kata tersebut menjadi kunci yang sangat penting untuk dipahami dalam pembahasan buku ini. Kata teror sendiri berasal dari bahasa Latin terrorem yang memiliki arti rasa takut yang luar biasa. Dalam kata kerja  terrere berarti membuat takut atau menakut-nakuti.;20/03/22 10.30
4724;1825;10 Kisah Genocide;2008;Genosida atau genosid adalah sebuah pembantaian besar-besaran sistematis terhadap satu suku bangsa atau kelompok dengan maksud memusnahkan (membuat punah) bangsa tersebut.;20/03/22 15.53
4724;2161;10 Kisah Genocide;2008;Genosida atau genosid adalah sebuah pembantaian besar-besaran sistematis terhadap satu suku bangsa atau kelompok dengan maksud memusnahkan (membuat punah) bangsa tersebut.;20/03/22 20.04
2599;2013;21 Menit Paling Bermakna dalam Hari - Hari Pemimpin Sejati;2002;21 Menit Paling Bermakna dalam Hari - Hari Pemimpin Sejati;20/03/22 22.50
4724;1968;10 Kisah Genocide;2008;Genosida atau genosid adalah sebuah pembantaian besar-besaran sistematis terhadap satu suku bangsa atau kelompok dengan maksud memusnahkan (membuat punah) bangsa tersebut.;20/03/22 23.08
5238;2013;PENGANTAR ILMU KOMUNIKASI;2012;PENGANTAR ILMU KOMUNIKASI;20/03/22 23.12
5244;2013;Pak Dirman Memimpin Perang Rakyat Semesta (Gerilya);1984;Buku ini menyajikan peran Panglima Besar Soedirman menghadapi serangan musuh yang bertekad besra sekali menghapuskan adanya Republik Indonesia.   Peristiwa ini dimulai pada tanggal 19 Desember 1948 dimana musuh mulai menyerang Yogyakarta dengan pesawat-pesawat udara  dan diakhiri pada tanggal 29 januari 1950.;20/03/22 23.13
5242;1985;Ekonomi Kerakyatan;2001;Ekonomi Kerakyatan;20/03/22 23.14
5241;1985;Manajemen Logistik 2;2002;Manajemen Logistik 2;20/03/22 23.15
5242;1958;Ekonomi Kerakyatan;2001;Ekonomi Kerakyatan;21/03/22 00.49
3762;1800;Deradikalisasi Nusantara;2016;Terorisme seakan tidak mengenal akhir. Selama cita-cita perjuangan mereka tidak pernah tercapai selama itu potensi ancaman terorisme akan terus berlangsung.;21/03/22 06.55
5105;1800;Implementasi Peran TNI Dalam Mengatasi Terorisme;2006;Perkembangan terorisme meningkat secara signifikan sejak diawal tahun 1970-an. Dalam periode itu  terorisme berkembang mengusung agama tertentu  perjuangan kemerdekaan  pemberontakan  gerilya  bahkan teror dilakukan demi menegakkan dan melanggengkan kekuasaannya.;21/03/22 08.17
5215;1800;Seni Berbicara Pada Anak Panduan Mendidik Anak Tanpa Ngegas;2017;Seni Berbicara Pada Anak Panduan Mendidik Anak Tanpa Ngegas;21/03/22 09.33
5212;1800;Jalan Baru Kepemimpinan & Pendidikan Jawaban Atas Tantangan Disrupsi-Inovatif;2020;Jalan Baru Kepemimpinan & Pendidikan Jawaban Atas Tantangan Disrupsi-Inovatif;21/03/22 09.36
5214;1800;Sejarah Dunia Untuk Pembaca Muda;2015;Sejarah Dunia Untuk Pembaca Muda;21/03/22 09.39
5211;1800;50 Inisiatif Pak Harto Untuk Indonesia & Dunia;2016;Buku ini merupakan sebuah catatan singkat tentang serangkaian inisiatif yang dikembangkan oleh Presiden kedua Republik Indonesia (1968-1998) dalam mewujudkan peradaban Indonesia yakni masyarakat adil dan makmur berdasarkan pancasila. Sepanjang masa itu Pak Harto mengembangkan begitu banyak inisiatif  khususnya inisiatif pembangunan  yang sebagian telah menjadi bukti keberhasilannya dalam memimpin Indonesia.;21/03/22 09.44
5209;1800;Wawasan Pancasila Bintang Penuntun Untuk Pembudayaan Edisi Komprehensif;2020;Wawasan Pancasila Bintang Penuntun Untuk Pembudayaan Edisi Komprehensif;21/03/22 09.46
1428;1820;105 OPTIMALISASI TEKNOLOGI KOMUNIKASI DALAM RANGKA MENINGKATKAN PROFESION;2020;Taskap yang dibuat dengan Judul 105 OPTIMALISASI TEKNOLOGI KOMUNIKASI DALAM RANGKA MENINGKATKAN PROFESION.;21/03/22 09.52
5208;1800;The Power of Focus;2016;The Power of Focus;21/03/22 09.53
5206;1800;Self Disruption Bagaimana Perusahaan Keluar Dari Perangkap Masa Lalu Dan Mendisrupsi Dirinya Menjadi Perusahaan Yang Sehat;2019;Self Disruption Bagaimana Perusahaan Keluar Dari Perangkap Masa Lalu Dan Mendisrupsi Dirinya Menjadi Perusahaan Yang Sehat;21/03/22 09.56
5242;2162;Ekonomi Kerakyatan;2001;Ekonomi Kerakyatan;21/03/22 10.03
4297;2248;"Obrolan Nusantara: Menyambut Indonesia""""";2012;Udara politik di Indonesia semakin pengab dari waktu ke waktu. Rakyat menjadi kehilangan harapan untuk dapat menggapai hidup yang lebih sejahtera. Hampir semua lembaga publik sudah tidak dapat dipercaya.;21/03/22 14.08
5582;1820;Worldclass Manufacturing Dekade Mendatang;1996;Semenjak ditemukannya metode pembukuan berpasangan (double-entry)  manajer menilai kekayaan perusahaan melalui penjualan dan keuntungan. Kini  Richard J. Schonberger  arsitek revolusi Just-In-Time dunia  dengan melampaui batas-batas ukuran finansial mendefinisikan kembali arti keunggulan-dan mengungkapkan  dengan data bencmark baru  bagaimana para pelopor menjadi dinasti.;21/03/22 21.45
1468;1820;142 OPTIMALISASI PERAN BABINSA PERKOTAAN DALAM MELAKSANAKAN PEMBINAAN TERITORIAL;2020;Taskap yang dibuat dengan Judul 142 OPTIMALISASI PERAN BABINSA PERKOTAAN DALAM MELAKSANAKAN PEMBINAAN TERITORIAL.;21/03/22 21.48
5579;1800;Unholy Trinity;2012;Ditulis dalam bentuk yang baku bersama rekan penulis buku The Secret War Against The Jews  Unholy Trinity mengisahkan salah satu kisah paling gelap Perang Dunia II.;22/03/22 11.03
5580;1800;Usaha Memahami Undang-Undang Tentang Peradilan Tata Usaha Negara Buku II;1994;Dewasa ini semakin banyak masyarakat menggugat para pejabat dan lembaga pemerintah. Hal ini menunjukkan bahwa keberadaan Peradilan Tata Usaha Negara sebagai lembaga pengaduan sangat diperlukan.;22/03/22 11.04
4724;1814;10 Kisah Genocide;2008;Genosida atau genosid adalah sebuah pembantaian besar-besaran sistematis terhadap satu suku bangsa atau kelompok dengan maksud memusnahkan (membuat punah) bangsa tersebut.;22/03/22 11.53
1363;1987;10 SECRETS OF SUCCESSFUL LEADERS;2007;10 Secrets of Successful Leaders akan mengubah cara Anda berpikir tentang karier Anda  dan menunjukkan kepada Anda bagaimana menjadi pemimpin perusahaan yang dapat mendaki tangga sejauh yang Anda inginkan.;22/03/22 13.04
4724;1888;10 Kisah Genocide;2008;Genosida atau genosid adalah sebuah pembantaian besar-besaran sistematis terhadap satu suku bangsa atau kelompok dengan maksud memusnahkan (membuat punah) bangsa tersebut.;22/03/22 19.14
1363;1888;10 SECRETS OF SUCCESSFUL LEADERS;2007;10 Secrets of Successful Leaders akan mengubah cara Anda berpikir tentang karier Anda  dan menunjukkan kepada Anda bagaimana menjadi pemimpin perusahaan yang dapat mendaki tangga sejauh yang Anda inginkan.;22/03/22 20.01
1363;2052;10 SECRETS OF SUCCESSFUL LEADERS;2007;10 Secrets of Successful Leaders akan mengubah cara Anda berpikir tentang karier Anda  dan menunjukkan kepada Anda bagaimana menjadi pemimpin perusahaan yang dapat mendaki tangga sejauh yang Anda inginkan.;22/03/22 22.04
1424;2052;100 KESIAPSIAGAAN BEKANGDAM JAYA DALAM MANAJEMENT RISK APPROACH;2020;Taskap berjudul Kesiapsiagaan BEKANGDAM Jaya dalam management Risk Approach Penanggulangan Bencana di wilayah DKI Jakarta oleh Yudi Wibowo  S.sos.;22/03/22 22.05
4863;2052;100 Tokoh Paling Berpengaruh Sepanjang Masa;2005;Pada tahun 1978  ketika buku Hart  100 Tokoh Paling Berpengaruh Sepanjang Masa yang kontroversial pertama kali dipublikasikan  banyak kritik menolak Hart yang telah berani tidak hanya memilih siapa saja yang menurutnya paling berpengaruh sepanjang sejarah  tetapi juga menyusun peringkat berdasarkan seberapa pentingnya mereka.;22/03/22 22.16
1363;2090;10 SECRETS OF SUCCESSFUL LEADERS;2007;10 Secrets of Successful Leaders akan mengubah cara Anda berpikir tentang karier Anda  dan menunjukkan kepada Anda bagaimana menjadi pemimpin perusahaan yang dapat mendaki tangga sejauh yang Anda inginkan.;22/03/22 22.56
4841;1837;100 Pemimpin Militer yang Berpengaruh di Dalam Sejarah Dunia;2007;100 Pemimpin Militer yang Berpengaruh di Dalam Sejarah Dunia adalah buku yang menarik tentang petualangan nyata dari para pahlawan pria dan wanita  strategi-strategi cerdas  dan para diktator jahat. Kumpulan biografi yang disusun secara kronologis  menyajikan fakta-fakta yang sering kali sangat kejam dan kemungkinan-kemungkinan luar biasa yang harus diatasi oleh para pemimpin untuk mencapai kemenangan dan bagaimana kontribusi mereka telah membentuk dunia yang kita tempati saat ini.;22/03/22 23.55
4491;1888;100 Tokoh Intelijen Dunia;2011;Hampir setiap negara memiliki badan-badan atau lembaga intelijen;
5582;1943;Worldclass Manufacturing Dekade Mendatang;1996;Semenjak ditemukannya metode pembukuan berpasangan (double-entry)  manajer menilai kekayaan perusahaan melalui penjualan dan keuntungan. Kini  Richard J. Schonberger  arsitek revolusi Just-In-Time dunia  dengan melampaui batas-batas ukuran finansial mendefinisikan kembali arti keunggulan-dan mengungkapkan  dengan data bencmark baru  bagaimana para pelopor menjadi dinasti.;23/03/22 06.55
4724;1943;10 Kisah Genocide;2008;Genosida atau genosid adalah sebuah pembantaian besar-besaran sistematis terhadap satu suku bangsa atau kelompok dengan maksud memusnahkan (membuat punah) bangsa tersebut.;23/03/22 06.58
5578;1800;Undang-Undang Otonomi Daerah 1999 Dan Petunjuk Pelaksanaan Undang-Undang Otonomi Daerah;2000;Undang-Undang Otonomi Daerah 1999 UU no. 22 tahun 1999 tentang Pemerintahan Daerah UU no. 25 tahun 1999 tentang Perimbangan Keuangan antara Pemerintah Pusat dan Daerah UU no. 28 tahun 1999 tentang Penyelenggara Negara yang Bersih dan Bebas dari KKN.;23/03/22 12.56
4724;1820;10 Kisah Genocide;2008;Genosida atau genosid adalah sebuah pembantaian besar-besaran sistematis terhadap satu suku bangsa atau kelompok dengan maksud memusnahkan (membuat punah) bangsa tersebut.;23/03/22 13.14
4491;521;100 Tokoh Intelijen Dunia;2011;Hampir setiap negara memiliki badan-badan atau lembaga intelijen;
5582;1671;Worldclass Manufacturing Dekade Mendatang;1996;Semenjak ditemukannya metode pembukuan berpasangan (double-entry)  manajer menilai kekayaan perusahaan melalui penjualan dan keuntungan. Kini  Richard J. Schonberger  arsitek revolusi Just-In-Time dunia  dengan melampaui batas-batas ukuran finansial mendefinisikan kembali arti keunggulan-dan mengungkapkan  dengan data bencmark baru  bagaimana para pelopor menjadi dinasti.;23/03/22 20.15
4863;1671;100 Tokoh Paling Berpengaruh Sepanjang Masa;2005;Pada tahun 1978  ketika buku Hart  100 Tokoh Paling Berpengaruh Sepanjang Masa yang kontroversial pertama kali dipublikasikan  banyak kritik menolak Hart yang telah berani tidak hanya memilih siapa saja yang menurutnya paling berpengaruh sepanjang sejarah  tetapi juga menyusun peringkat berdasarkan seberapa pentingnya mereka.;23/03/22 20.15
4724;1671;10 Kisah Genocide;2008;Genosida atau genosid adalah sebuah pembantaian besar-besaran sistematis terhadap satu suku bangsa atau kelompok dengan maksud memusnahkan (membuat punah) bangsa tersebut.;23/03/22 20.16
1363;1825;10 SECRETS OF SUCCESSFUL LEADERS;2007;10 Secrets of Successful Leaders akan mengubah cara Anda berpikir tentang karier Anda  dan menunjukkan kepada Anda bagaimana menjadi pemimpin perusahaan yang dapat mendaki tangga sejauh yang Anda inginkan.;23/03/22 21.03
4297;1999;"Obrolan Nusantara: Menyambut Indonesia""""";2012;Udara politik di Indonesia semakin pengab dari waktu ke waktu. Rakyat menjadi kehilangan harapan untuk dapat menggapai hidup yang lebih sejahtera. Hampir semua lembaga publik sudah tidak dapat dipercaya.;23/03/22 21.47
5580;1999;Usaha Memahami Undang-Undang Tentang Peradilan Tata Usaha Negara Buku II;1994;Dewasa ini semakin banyak masyarakat menggugat para pejabat dan lembaga pemerintah. Hal ini menunjukkan bahwa keberadaan Peradilan Tata Usaha Negara sebagai lembaga pengaduan sangat diperlukan.;23/03/22 21.50
5579;1999;Unholy Trinity;2012;Ditulis dalam bentuk yang baku bersama rekan penulis buku The Secret War Against The Jews  Unholy Trinity mengisahkan salah satu kisah paling gelap Perang Dunia II.;23/03/22 21.51
2932;2046;Organisasi dan Tugas Pusat Penerbangan Angkatan Darat (Organ Puspenerbad);2012;Organisasi dan Tugas Pusat Penerbangan Angkatan Darat (Organ Puspenerbad);23/03/22 22.14
5581;1943;Wawasan Politik Mengenai Sistem Pendidikan Nasional;1990;Kunci pembangunan bagi masa mendatang bangsa Indoensia ialah pendidikan. Sebab lewat perolehan pendidikan diharapkan setiap individu dapat meningkatkan kualitas keberadaannya  dan mampu berpartisipasi dalam gerak pembangunan.;24/03/22 07.42
5580;1671;Usaha Memahami Undang-Undang Tentang Peradilan Tata Usaha Negara Buku II;1994;Dewasa ini semakin banyak masyarakat menggugat para pejabat dan lembaga pemerintah. Hal ini menunjukkan bahwa keberadaan Peradilan Tata Usaha Negara sebagai lembaga pengaduan sangat diperlukan.;24/03/22 07.52
1424;1671;100 KESIAPSIAGAAN BEKANGDAM JAYA DALAM MANAJEMENT RISK APPROACH;2020;Taskap berjudul Kesiapsiagaan BEKANGDAM Jaya dalam management Risk Approach Penanggulangan Bencana di wilayah DKI Jakarta oleh Yudi Wibowo  S.sos.;24/03/22 08.10
3793;2060;Petunjuk Teknis Tentang Latihan POSKo I;2016;Buku adalah salah satu di antara berbagai sumber pengetahuan yang bisa menambah wawasan. Dengan membaca buku  seseorang bisa mengetahui apapun yang ada di dunia. Tak salah  jika buku kerap disebut sebagai jendela dunia. Ilmu yang terkandung dalam sebuah buku tentunya memiliki banyak variasi tergantung pada isi dan topik pembahasannya.;24/03/22 08.35
4491;1878;100 Tokoh Intelijen Dunia;2011;Hampir setiap negara memiliki badan-badan atau lembaga intelijen;
4841;1823;100 Pemimpin Militer yang Berpengaruh di Dalam Sejarah Dunia;2007;100 Pemimpin Militer yang Berpengaruh di Dalam Sejarah Dunia adalah buku yang menarik tentang petualangan nyata dari para pahlawan pria dan wanita  strategi-strategi cerdas  dan para diktator jahat. Kumpulan biografi yang disusun secara kronologis  menyajikan fakta-fakta yang sering kali sangat kejam dan kemungkinan-kemungkinan luar biasa yang harus diatasi oleh para pemimpin untuk mencapai kemenangan dan bagaimana kontribusi mereka telah membentuk dunia yang kita tempati saat ini.;24/03/22 09.00
2358;2080;KOMPILASI PERATURAN PERUNDANG - UNDANGAN OPERASI MILITER SELAIN PERANG BUKU 11 BUKU 12 JILID VI;2010;KOMPILASI PERATURAN PERUNDANG - UNDANGAN OPERASI MILITER SELAIN PERANG BUKU 11 BUKU 12 JILID VI;24/03/22 09.13
5580;2011;Usaha Memahami Undang-Undang Tentang Peradilan Tata Usaha Negara Buku II;1994;Dewasa ini semakin banyak masyarakat menggugat para pejabat dan lembaga pemerintah. Hal ini menunjukkan bahwa keberadaan Peradilan Tata Usaha Negara sebagai lembaga pengaduan sangat diperlukan.;24/03/22 09.48
4841;2011;100 Pemimpin Militer yang Berpengaruh di Dalam Sejarah Dunia;2007;100 Pemimpin Militer yang Berpengaruh di Dalam Sejarah Dunia adalah buku yang menarik tentang petualangan nyata dari para pahlawan pria dan wanita  strategi-strategi cerdas  dan para diktator jahat. Kumpulan biografi yang disusun secara kronologis  menyajikan fakta-fakta yang sering kali sangat kejam dan kemungkinan-kemungkinan luar biasa yang harus diatasi oleh para pemimpin untuk mencapai kemenangan dan bagaimana kontribusi mereka telah membentuk dunia yang kita tempati saat ini.;24/03/22 09.49
2601;1985;5 Prinsip Kepemimpinan Strategi Jitu Membuat Orang Lain Mengikuti Kemauan Anda;2005;5 Prinsip Kepemimpinan Strategi Jitu Membuat Orang Lain Mengikuti Kemauan Anda;24/03/22 10.14
3579;1823;Zionis Islael dan Kebangkitan Nasionalisme Arab;1991;Zionis Islael dan Kebangkitan Nasionalisme Arab;24/03/22 10.35
4724;1823;10 Kisah Genocide;2008;Genosida atau genosid adalah sebuah pembantaian besar-besaran sistematis terhadap satu suku bangsa atau kelompok dengan maksud memusnahkan (membuat punah) bangsa tersebut.;24/03/22 10.36
5582;1795;Worldclass Manufacturing Dekade Mendatang;1996;Semenjak ditemukannya metode pembukuan berpasangan (double-entry)  manajer menilai kekayaan perusahaan melalui penjualan dan keuntungan. Kini  Richard J. Schonberger  arsitek revolusi Just-In-Time dunia  dengan melampaui batas-batas ukuran finansial mendefinisikan kembali arti keunggulan-dan mengungkapkan  dengan data bencmark baru  bagaimana para pelopor menjadi dinasti.;24/03/22 10.38
5581;1795;Wawasan Politik Mengenai Sistem Pendidikan Nasional;1990;Kunci pembangunan bagi masa mendatang bangsa Indoensia ialah pendidikan. Sebab lewat perolehan pendidikan diharapkan setiap individu dapat meningkatkan kualitas keberadaannya  dan mampu berpartisipasi dalam gerak pembangunan.;24/03/22 10.38
5580;1795;Usaha Memahami Undang-Undang Tentang Peradilan Tata Usaha Negara Buku II;1994;Dewasa ini semakin banyak masyarakat menggugat para pejabat dan lembaga pemerintah. Hal ini menunjukkan bahwa keberadaan Peradilan Tata Usaha Negara sebagai lembaga pengaduan sangat diperlukan.;24/03/22 10.41
2597;1795;100 HIKMAH RAMADHAN;2012;"Manusia dalam hidupnya menghadapi dua macam rayuan yang dapat menjerumuskan  setan dan nafsunya. Dalam konteks Ramadhan kita ingat sabda Nabi  Di bulan Ramadhan setan terbelenggu."" Tapi ternyata kedurhakaan masih ada. Penyebabnya pastilah nafsu manusia sendiri  yang puasanya tidak mampu mengendalikan nafsunya.""";24/03/22 10.41
4297;2007;"Obrolan Nusantara: Menyambut Indonesia""""";2012;Udara politik di Indonesia semakin pengab dari waktu ke waktu. Rakyat menjadi kehilangan harapan untuk dapat menggapai hidup yang lebih sejahtera. Hampir semua lembaga publik sudah tidak dapat dipercaya.;24/03/22 10.57
4724;1932;10 Kisah Genocide;2008;Genosida atau genosid adalah sebuah pembantaian besar-besaran sistematis terhadap satu suku bangsa atau kelompok dengan maksud memusnahkan (membuat punah) bangsa tersebut.;24/03/22 11.28
4297;1845;"Obrolan Nusantara: Menyambut Indonesia""""";2012;Udara politik di Indonesia semakin pengab dari waktu ke waktu. Rakyat menjadi kehilangan harapan untuk dapat menggapai hidup yang lebih sejahtera. Hampir semua lembaga publik sudah tidak dapat dipercaya.;24/03/22 11.31
