id,judul,isbn_issn,tahun_terbit,deskripsi
1226,"BUKU PETUNJUK LAPANGAN KOMPI SENAPAN DALAM OPERASI LAWAN INSURJENSI",9790036,1986,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1227,"BUKU PETUNJUK LAPANGAN TAKTIK PERTAHANAN DARAT",9790037,2009,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1228,"BUKU PETUNJUK LAPANGAN TNI AD PELETON SENAPAN DALAM OPERASI LAWAN INSURJENSI",9790038,1986,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1229,"BUKU PETUNJUK OPERASI  MILITER TNI AD",9790039,2002,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1230,"BUKU PETUNJUK PELAKSANAAN DOKTRIN MUSUH BUKU I OPS - 11 1",9790040,2006,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1232,"BUKU PETUNJUK PELAKSANAAN PEDOMAN PEMBERDAYAAN WILAYAH PERTAHANAN ASPEK DARAT",9790042,2009,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1233,"BUKU PETUNJUK PELAKSANAAN PEDOMAN PENCARIAN DAN PERTOLONGAN DALAM KECELAKAAN ATAU SAR",9790043,2009,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1235,"BUKU PETUNJUK PELAKSANAAN PEDOMAN PENGAMANAN WILAYAH PERBATASAN DARAT",9790045,2009,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1238,"BUKU PETUNJUK PELAKSANAAN PEMBINAAN SATUAN TNI AD PP OPS - 12",9790048,2006,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1239,"BUKU PETUNJUK PELAKSANAAN TNI TENTANG BANTUAN TNI KEPADA PEMERINTAH DALAM PENGAMANAN PELAYARAN DAN PENERBANGAN TERHADAP PEMBAJAKAN, PERAMPOKAN DAN PENYELUNDUPAN",9790049,2008,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1241,"BUKU PETUNJUK PEMBIMBINGAN, PENILAIAN NASKAH DAN PAPARAN KARANGAN MILITER",9790051,2005,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1242,"BUKU PETUNJUK PEMBINAAN DOKTRIN KDL-1 1 A",9790052,2002,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1243,"BUKU PETUNJUK PEMBINAAN DOKTRIN TNI AD",9790053,2006,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1244,"BUKU PETUNJUK PEMBINAAN SATUAN TNI AD ( BINSAT TNI AD )",9790054,1986,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1245,"BUKU PETUNJUK TATA CARA PERMINTAAN DAN PENGIRIMAN UMPAN BALIK DOKTRIN",9790055,2003,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1246,"BUKU PETUNJUK TEKNIK ALAT PEMADAM KEBAKARAN (APK)",9790056,2006,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1247,"BUKU PETUNJUK TEKNIK BEKAL POKOK MUNISI DAN HANDAK",9790057,2004,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1249,"BUKU PETUNJUK TEKNIK BORESIGHT ZPS 86",9790059,2005,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1250,"BUKU PETUNJUK TEKNIK DRILL TEKNIS, DRILL TAKTIS DAN DRILL TEMPUR (30528)",9790060,2006,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1251,"BUKU PETUNJUK TEKNIK EVALUASI HASIL BELAJAR DI LINGKUNGAN LEMBAGA PENDIDIKAN AD",9790061,2004,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1252,"BUKU PETUNJUK TEKNIK EVALUASI LATIHAN",9790062,2004,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1253,"BUKU PETUNJUK TEKNIK GELADI MEDAN",9790063,2004,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1254,"BUKU PETUNJUK TEKNIK GELADI MODEL",9790064,2004,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1255,"BUKU PETUNJUK TEKNIK GELADI PETA",9790065,2004,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1256,"BUKU PETUNJUK TEKNIK GELADI POSKO I",9790066,2004,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1258,"BUKU PETUNJUK TEKNIK LATIHAN DOPPER",9790068,1995,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1259,"BUKU PETUNJUK TEKNIK MANUVER PETA",9790069,2006,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1260,"BUKU PETUNJUK TEKNIK METODE PENGAJARAN",9790070,2006,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1262,"BUKU PETUNJUK TEKNIK PENGGUNAAN ALINS DI LEMDIK TNI AD",9790072,2011,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1263,"BUKU PETUNJUK TEKNIK PENGGUNAAN MICRO TEACHING",9790073,2011,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1264,"BUKU PETUNJUK TEKNIK PENGGUNAAN MUNISI LATIHAN",9790074,2004,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1265,"BUKU PETUNJUK TEKNIK PENGKAJIAN DAN PENGEMBANGAN PENDIDIKAN",9790075,2006,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1266,"BUKU PETUNJUK TEKNIK PENOMORAN KURIKULUM PENDIDIKAN AD",9790076,2004,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1269,"BUKU PETUNJUK TEKNIK PENYIAPAN SATUAN TEMPUR",9790079,2006,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1270,"BUKU PETUNJUK TEKNIK PENYUSUNAN KATDALDIK TINGKAT KEBIJAKSANAAN",9790080,1996,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1271,"BUKU PETUNJUK TEKNIK PENYUSUNAN ORGANISASI DAN TUGAS SATUAN",9790081,2006,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1272,"BUKU PETUNJUK TEKNIK STANDARISASI SARANA DAN PRASARANA LATIHAN",9790082,2006,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1274,"BUKU PETUNJUK TEKNIK TEROPONG MEDAN",9790084,2005,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1275,"BUKU PETUNJUK TEKNIK TNI AD SENAPAN PENEMBAK RUNDUKG3 SG1 KALIBER 7 62 MM",9790085,1990,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1276,"BUKU PETUNJUK TEKNIK TRUCK 3P PER 4 TON ISUZU OZ DAN OZ - 1",9790086,2007,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1277,"BUKU PETUNJUK TEKNIS TATA CARA PENYUSUNAN BUKU PETUNJUK ANGKATAN DARAT",9790087,2012,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1278,"BUNGA RAMPAI SESKOAD",9790088,2014,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1279,"GELADI POSKO I OPERASI GABUNGAN TNI PROGRAM KEGIATAN BERSAMA PASIS SESKO ANGKATAN TA 2006 BUKU I",9790089,2006,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
1280,"GELADI POSKO I OPERASI GABUNGAN TNI PROGRAM KEGIATAN BERSAMA PASIS SESKO ANGKATAN TA 2006 BUKU II A",9790090,2006,"Buku ini diterbitkan untuk menambah wawasan para pembaca  segala jenis bidang keilmuan dapat dipelajari berdasarkan pengalaman seseorang  namun hal tersebut rasanya kurang lengkap jika tanpa adanya suatu ilmu yang diperoleh dari sumber yang terpercaya."
